station_id,physical_configuration,latitud,longitud,address,post_code,capacity,last_updated
100.0,ELECTRICBIKESTATION,41.379363,2.143868,"C/ TARRAGONA,  159-173",08014,22.0,1759269304.0
101.0,ELECTRICBIKESTATION,41.392878,2.143411,"AV. DIAGONAL, 602",08021,23.0,1759269304.0
102.0,ELECTRICBIKESTATION,41.392567,2.1422174,"AV. DIAGONAL,  612",08021,24.0,1759269304.0
103.0,ELECTRICBIKESTATION,41.410098,2.1884487,"C/ ARAGÃ, 629",08026,21.0,1759269304.0
104.0,ELECTRICBIKESTATION,41.4108005,2.1872438,"C/ VALÃNCIA, 621",08026,26.0,1759269304.0
105.0,ELECTRICBIKESTATION,41.389492,2.17425,"RDA. DE SANT PERE, 26",08010,21.0,1759269304.0
106.0,ELECTRICBIKESTATION,41.4055198,2.1622548," PL  JOANIC - C / BRUNIQUER, 59",08024,20.0,1759269304.0
107.0,ELECTRICBIKESTATION,41.3982304,2.1531031,"TRAV. DE GRÃCIA, 92 / VIA AUGUSTA",08006,20.0,1759269304.0
108.0,ELECTRICBIKESTATION,41.4022081,2.1649035,"C / INDÃSTRIA, 10",08037,21.0,1759269304.0
109.0,ELECTRICBIKESTATION,41.3912605,2.1476308,"C/ LONDRES,  53",08036,24.0,1759269304.0
110.0,ELECTRICBIKESTATION,41.3852585,2.155089,"AV. ROMA,  136",08011,17.0,1759269304.0
111.0,ELECTRICBIKESTATION,41.3847528,2.1546746,C/ ARAGÃ 147,08015,19.0,1759269304.0
112.0,ELECTRICBIKESTATION,41.3776721,2.157233,"C/ FLORIDABLANCA, 49",08015,20.0,1759269304.0
113.0,ELECTRICBIKESTATION,41.3773113,2.1646742,"RONDA DE SANT PAU, 51",08015,34.0,1759269304.0
114.0,ELECTRICBIKESTATION,41.376735,2.1740082,"PL. JEAN GENET,  1",08001,20.0,1759269304.0
115.0,ELECTRICBIKESTATION,41.383597,2.184171,"AV. MARQUÃS DE L'ARGENTERA,  3",08003,21.0,1759269304.0
116.0,ELECTRICBIKESTATION,41.3838369,2.1914756,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",08003,35.0,1759269304.0
117.0,ELECTRICBIKESTATION,41.3906051,2.1972309,"C/ ROSA SENSAT, 12",08005,21.0,1759269304.0
118.0,ELECTRICBIKESTATION,41.39212,2.1874966,"C/ PUJADES,  3",08018,27.0,1759269304.0
119.0,ELECTRICBIKESTATION,41.3967169,2.1825085,"C/ SARDENYA,  178",08013,39.0,1759269304.0
120.0,ELECTRICBIKESTATION,41.4047056,2.1765126,"C/ LEPANT,  278",08013,21.0,1759269304.0
121.0,ELECTRICBIKESTATION,41.4064529,2.1785364,"C/ CASTILLEJOS, 258",08013,21.0,1759269304.0
122.0,ELECTRICBIKESTATION,41.4054458,2.1663172,"C/ NÃPOLS, 344",08025,33.0,1759269304.0
123.0,ELECTRICBIKESTATION,41.3988184485363,2.16673522491668,"C/ PROVENÃA, 317",08037,21.0,1759269304.0
124.0,ELECTRICBIKESTATION,41.3702483,2.1878126,C/ NOVA  BOCANA,08039,31.0,1759269304.0
125.0,ELECTRICBIKESTATION,41.3834753,2.194735," PG. MARÃ­TIM, 31 B (ANNEXA A LA  12)",08003,29.0,1759269304.0
126.0,ELECTRICBIKESTATION,41.380628,2.1822815,PG. DE COLOM /VIA LAIETANA,08002,23.0,1759269304.0
127.0,ELECTRICBIKESTATION,41.4120681,2.1907524,"C/ ARAGÃ, 659 /NAVAS DE TOLOSA",08026,27.0,1759269304.0
128.0,ELECTRICBIKESTATION,41.4158412,2.1959771,"RAMBLA DE GUIPÃSCOA, 43/FLUVIA",08020,43.0,1759269304.0
129.0,ELECTRICBIKESTATION,41.377046,2.16113608,"C/ MANSO, 46",08015,22.0,1759269304.0
130.0,ELECTRICBIKESTATION,41.4200135,2.2016699,"RAMBLA DE GUIPÃSCOA, 103 /CANTÃBRIA",08020,24.0,1759269304.0
131.0,ELECTRICBIKESTATION,41.4227912,2.2060317,"RAMBLA  DE GUIPÃSCOA, 158/ CA N'OLIVA",08020,29.0,1759269304.0
132.0,ELECTRICBIKESTATION,41.4084796,2.192042,PL.VALENTÃ ALMIRALL,08018,26.0,1759269304.0
